epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5314.71,0.82642,0.69455,1.17717,0.81807,0.78947,0.86956,0.65078,0.87292,0.88672,1.24824,0.000614,0.000614,0.000614
44,5434.6,0.80075,0.70839,1.17181,0.83157,0.78003,0.82909,0.64187,0.85815,0.85388,1.26118,0.000581,0.000581,0.000581
45,5558.35,0.76528,0.63427,1.15916,0.85889,0.84211,0.89051,0.63524,0.97551,0.90637,1.35204,0.000548,0.000548,0.000548
46,5684.56,0.79004,0.64817,1.17208,0.79517,0.84211,0.90003,0.68672,0.85268,0.90229,1.21129,0.000515,0.000515,0.000515
47,5819.29,0.75465,0.64266,1.15543,0.90745,0.73684,0.90735,0.68428,0.75852,0.77779,1.16084,0.000482,0.000482,0.000482
48,6002.13,0.77296,0.66812,1.17263,0.79825,0.84211,0.89278,0.69651,0.79705,0.76026,1.21203,0.000449,0.000449,0.000449
49,6174.09,0.74022,0.62998,1.13685,0.79995,0.84184,0.86391,0.65872,0.81909,0.87463,1.28123,0.000416,0.000416,0.000416
50,6346.38,0.72701,0.59329,1.11222,0.76503,0.89474,0.87383,0.62771,0.93408,0.79741,1.30367,0.000383,0.000383,0.000383
51,6519.77,0.63061,0.62048,1.10599,0.79586,0.84211,0.88849,0.66031,0.89272,0.66956,1.25411,0.00035,0.00035,0.00035
52,6684.55,0.5981,0.52945,1.05708,0.79501,0.81715,0.88358,0.65578,0.92066,0.71771,1.2758,0.000317,0.000317,0.000317
53,6828.02,0.64733,0.51639,1.08613,0.82531,0.78947,0.89833,0.6257,1.00419,0.76723,1.36448,0.000284,0.000284,0.000284
54,6984.32,0.59655,0.48174,1.0624,0.78552,0.78947,0.8556,0.65377,1.02594,0.759,1.42159,0.000251,0.000251,0.000251
55,7150.52,0.56888,0.4804,1.05081,0.79808,0.83252,0.87573,0.68087,0.93419,0.74195,1.32819,0.000218,0.000218,0.000218
56,7316,0.58417,0.46903,1.06126,0.93746,0.78897,0.88088,0.66088,0.93151,0.71033,1.3329,0.000185,0.000185,0.000185
57,7481.61,0.53999,0.43577,1.02687,0.93249,0.78947,0.88692,0.64905,0.88242,0.68229,1.30107,0.000152,0.000152,0.000152
58,7647.48,0.54168,0.45953,1.02894,0.93095,0.78947,0.88792,0.6691,0.79447,0.6642,1.23471,0.000119,0.000119,0.000119
59,7815.43,0.5215,0.41857,1.02872,0.92631,0.78947,0.89195,0.69187,0.81338,0.62721,1.2577,8.6e-05,8.6e-05,8.6e-05
60,7984.15,0.53665,0.40508,1.02814,0.92188,0.78947,0.89896,0.70069,0.83998,0.6299,1.27803,5.3e-05,5.3e-05,5.3e-05
