frame,train_track_id,train_conf,train_bbox,assigned_track,overlap
0,1,0.7786387205123901,"[387.26123046875, 573.979248046875, 600.7952880859375, 788.73193359375]",voie1,0.5714
1,1,0.7727003693580627,"[387.0235900878906, 570.222900390625, 599.80615234375, 789.3119506835938]",voie1,0.5594
2,1,0.7930887937545776,"[388.72314453125, 573.189697265625, 604.501953125, 792.0787353515625]",voie1,0.5638
3,1,0.7940279841423035,"[389.3033752441406, 574.31689453125, 606.2959594726562, 793.0797119140625]",voie1,0.5691
4,1,0.7796103358268738,"[387.4189758300781, 570.0317993164062, 609.5703735351562, 791.4710083007812]",voie1,0.5545
5,1,0.7801543474197388,"[386.5233154296875, 568.7542114257812, 610.4361572265625, 791.0692138671875]",voie1,0.5521
6,1,0.8096005320549011,"[384.58636474609375, 566.9279174804688, 618.7261352539062, 792.2952270507812]",voie1,0.5656
7,1,0.8108795285224915,"[384.0967712402344, 566.528076171875, 622.0227661132812, 793.6365356445312]",voie1,0.5638
8,1,0.8049460053443909,"[383.50555419921875, 566.5023193359375, 619.361572265625, 792.4635009765625]",voie1,0.557
9,1,0.8048656582832336,"[382.8509826660156, 565.7587890625, 617.7075805664062, 791.4102783203125]",voie1,0.5533
10,1,0.808881402015686,"[378.5135192871094, 561.6893310546875, 616.2193603515625, 790.934814453125]",voie1,0.5392
11,1,0.809718906879425,"[377.0802917480469, 560.564453125, 615.841064453125, 791.1943969726562]",voie1,0.5362
12,1,0.8014200329780579,"[381.53997802734375, 560.2510375976562, 622.2922973632812, 789.0040283203125]",voie1,0.5489
13,1,0.8018485903739929,"[383.039306640625, 560.0478515625, 624.3629760742188, 788.035888671875]",voie1,0.5478
14,1,0.8047232627868652,"[382.3948669433594, 559.5704345703125, 628.3594970703125, 788.68017578125]",voie1,0.5429
15,1,0.8043285012245178,"[381.8677062988281, 559.6538696289062, 629.4287719726562, 788.9940185546875]",voie1,0.5432
16,1,0.8030297160148621,"[381.24566650390625, 558.9315795898438, 627.02392578125, 789.0342407226562]",voie1,0.5216
17,1,0.8051700592041016,"[381.6719970703125, 559.8344116210938, 627.4489135742188, 790.8734130859375]",voie1,0.5275
18,1,0.7954353094100952,"[382.4342041015625, 559.4866333007812, 627.9490356445312, 790.4110717773438]",voie1,0.5234
19,1,0.7945618033409119,"[382.3891906738281, 558.9989624023438, 627.7611083984375, 789.91650390625]",voie1,0.522
20,1,0.8001106381416321,"[384.7715759277344, 559.2943725585938, 631.2970581054688, 791.9447021484375]",voie1,0.5423
21,1,0.7996966242790222,"[385.85736083984375, 559.2554321289062, 632.5712280273438, 792.4805908203125]",voie1,0.5441
22,1,0.8032059073448181,"[385.4740905761719, 557.7476196289062, 634.4344482421875, 791.2838134765625]",voie1,0.5242
23,1,0.8032293319702148,"[384.9621887207031, 557.4033203125, 634.9148559570312, 791.0453491210938]",voie1,0.524
24,1,0.7978966236114502,"[383.7977294921875, 559.1478881835938, 637.4238891601562, 790.5303344726562]",voie1,0.5357
25,1,0.7976671457290649,"[383.52685546875, 560.2533569335938, 638.22265625, 790.6585083007812]",voie1,0.539
26,1,0.7951086163520813,"[386.80377197265625, 562.9473266601562, 643.3919677734375, 789.2532348632812]",voie1,0.5482
27,1,0.8022310137748718,"[388.1463928222656, 563.0296630859375, 646.0074462890625, 791.864990234375]",voie1,0.5528
28,1,0.7966023087501526,"[389.7762756347656, 561.6388549804688, 650.6909790039062, 792.6716918945312]",voie1,0.5518
29,1,0.7995304465293884,"[391.0035400390625, 559.90576171875, 649.6069946289062, 793.3031616210938]",voie1,0.5494
30,1,0.7944238781929016,"[393.3190002441406, 559.6746215820312, 649.90869140625, 794.7915649414062]",voie1,0.5392
31,1,0.7947222590446472,"[393.5911865234375, 559.4821166992188, 649.4323120117188, 795.1975708007812]",voie1,0.542
32,1,0.8032506108283997,"[392.71539306640625, 559.0938720703125, 651.972412109375, 792.678955078125]",voie1,0.5431
33,1,0.8033820986747742,"[392.9661560058594, 559.6217041015625, 653.55859375, 792.2092895507812]",voie1,0.5428
34,1,0.7973713278770447,"[392.6785583496094, 555.5531616210938, 656.4912109375, 789.3806762695312]",voie1,0.5824
35,1,0.7968062162399292,"[393.03857421875, 555.1121215820312, 657.8666381835938, 789.439453125]",voie1,0.5812
44,1,0.8294429779052734,"[390.8615417480469, 535.3485107421875, 654.4625854492188, 770.351318359375]",voie1,0.6006
45,1,0.8299647569656372,"[391.1374816894531, 535.083984375, 654.5331420898438, 770.2440795898438]",voie1,0.5998
48,1,0.4137032628059387,"[385.5469665527344, 558.5564575195312, 652.482666015625, 756.58154296875]",voie1,0.6329
49,1,0.425555557012558,"[384.90704345703125, 561.3719482421875, 652.4418334960938, 755.1422119140625]",voie1,0.6392
53,1,0.43011555075645447,"[376.8461608886719, 540.1549682617188, 648.5562133789062, 754.8089599609375]",voie1,0.5801
54,1,0.8231843113899231,"[375.2975769042969, 528.5977783203125, 647.4907836914062, 753.6115112304688]",voie1,0.5759
55,1,0.7968376278877258,"[373.2282409667969, 523.9539794921875, 641.7635498046875, 749.2864379882812]",voie1,0.5567
56,1,0.8167001605033875,"[374.6805419921875, 516.3446655273438, 652.269287109375, 754.04638671875]",voie1,0.5438
57,1,0.8137598633766174,"[376.1610412597656, 514.5608520507812, 656.782958984375, 756.064208984375]",voie1,0.5436
58,1,0.7991561889648438,"[376.8105773925781, 511.17852783203125, 661.4749755859375, 754.8252563476562]",voie1,0.5196
59,1,0.8008835911750793,"[377.0754089355469, 510.6730651855469, 663.065185546875, 755.0089111328125]",voie1,0.5179
60,1,0.8104118704795837,"[374.47967529296875, 508.2726745605469, 662.8425903320312, 754.30126953125]",voie1,0.5161
61,1,0.8097736239433289,"[374.3476867675781, 507.90924072265625, 663.7022094726562, 754.6652221679688]",voie1,0.5159
62,1,0.79756098985672,"[384.04449462890625, 502.4421081542969, 669.1456909179688, 757.85888671875]",voie1,0.5185
63,1,0.7972832918167114,"[387.75653076171875, 501.64398193359375, 671.0106811523438, 760.2818603515625]",voie1,0.5217
64,1,0.7962918281555176,"[385.2055358886719, 500.3619079589844, 672.3810424804688, 759.0248413085938]",voie1,0.5125
65,1,0.7957056760787964,"[385.1285095214844, 500.763671875, 673.666748046875, 759.3870239257812]",voie1,0.5142
66,1,0.7503886222839355,"[383.529052734375, 495.1678161621094, 674.3074951171875, 759.9895629882812]",voie1,0.5239
67,1,0.7102358937263489,"[382.91845703125, 493.9002990722656, 674.214111328125, 762.38330078125]",voie1,0.5256
68,1,0.7876099944114685,"[384.0498046875, 487.89471435546875, 677.3912353515625, 763.0457153320312]",voie1,0.5196
69,1,0.7869471311569214,"[384.6122741699219, 486.03265380859375, 678.9757080078125, 763.7843627929688]",voie1,0.517
70,1,0.7620653510093689,"[388.38287353515625, 484.673583984375, 680.97314453125, 762.0989990234375]",voie1,0.5188
71,1,0.7622339129447937,"[389.73272705078125, 484.55255126953125, 681.3101196289062, 761.7548217773438]",voie1,0.5181
72,1,0.6508405804634094,"[375.76239013671875, 484.64959716796875, 677.2213134765625, 760.7339477539062]",voie1,0.5121
73,1,0.6589165329933167,"[371.5523376464844, 485.24560546875, 677.0391845703125, 761.396484375]",voie1,0.515
74,1,0.7885337471961975,"[376.3336181640625, 486.035888671875, 682.9923095703125, 760.2015991210938]",voie1,0.52
75,1,0.7894812226295471,"[378.3223876953125, 487.09234619140625, 684.7168579101562, 760.4041748046875]",voie1,0.523
76,1,0.7729895114898682,"[370.9552307128906, 486.79510498046875, 683.1021728515625, 753.2411499023438]",voie1,0.5024
77,1,0.7743149995803833,"[368.2143249511719, 486.9790344238281, 682.1859741210938, 750.37109375]",voie1,0.4977
78,1,0.7703837156295776,"[370.9937438964844, 483.9370422363281, 688.41357421875, 756.3499145507812]",voie1,0.511
79,1,0.7630736827850342,"[372.4427185058594, 483.1806335449219, 691.843505859375, 758.1126098632812]",voie1,0.513
80,1,0.7339209914207458,"[371.6454162597656, 484.0299377441406, 696.9500732421875, 755.293701171875]",voie1,0.4909
81,1,0.7336891293525696,"[371.1025390625, 484.0881652832031, 698.9536743164062, 753.8977661132812]",voie1,0.4884
82,1,0.7622465491294861,"[373.25616455078125, 484.8853759765625, 702.9675903320312, 755.1239013671875]",voie1,0.5086
83,1,0.743036150932312,"[374.2980041503906, 484.85784912109375, 704.8980712890625, 753.9284057617188]",voie1,0.506
84,1,0.7909858822822571,"[381.0827331542969, 488.1481628417969, 702.9476928710938, 758.3319702148438]",voie1,0.5187
85,1,0.7891944050788879,"[383.5123291015625, 488.9049377441406, 702.20166015625, 758.25146484375]",voie1,0.5193
86,1,0.8095417618751526,"[396.908203125, 485.6861877441406, 706.52685546875, 757.82958984375]",voie1,0.5206
87,1,0.8176225423812866,"[398.3224182128906, 485.9895935058594, 705.4014282226562, 757.7622680664062]",voie1,0.5197
88,1,0.7890329957008362,"[394.62176513671875, 487.9648132324219, 702.1414184570312, 759.7000122070312]",voie1,0.5082
89,1,0.796654999256134,"[393.8871765136719, 488.0816955566406, 701.4813842773438, 760.53271484375]",voie1,0.5097
90,1,0.8166290521621704,"[392.4841613769531, 488.13714599609375, 702.8358154296875, 763.9038696289062]",voie1,0.5214
91,1,0.8169847130775452,"[391.9947814941406, 488.14251708984375, 703.0557861328125, 765.11572265625]",voie1,0.5229
92,1,0.8294149041175842,"[390.2915344238281, 489.50341796875, 709.9072265625, 767.9521484375]",voie1,0.5393
93,1,0.7919829487800598,"[388.3206787109375, 489.35223388671875, 708.6021118164062, 766.8631591796875]",voie1,0.5167
94,1,0.8307442665100098,"[387.9781494140625, 484.9692687988281, 710.88330078125, 768.0117797851562]",voie1,0.5073
95,1,0.831454873085022,"[389.0489501953125, 483.16986083984375, 712.0191040039062, 768.0628662109375]",voie1,0.5237
96,1,0.7467196583747864,"[382.8101501464844, 484.80084228515625, 709.5562133789062, 760.8699951171875]",voie1,0.5047
97,1,0.7456384897232056,"[380.6021728515625, 484.64532470703125, 708.8583984375, 757.0640869140625]",voie1,0.4983
98,1,0.822606086730957,"[378.4888610839844, 488.85821533203125, 717.3240966796875, 772.0449829101562]",voie1,0.5539
99,1,0.8237344026565552,"[378.4762268066406, 489.8572692871094, 720.9127197265625, 777.4855346679688]",voie1,0.5632
100,1,0.818038284778595,"[376.33746337890625, 490.4603271484375, 718.5629272460938, 776.1295166015625]",voie1,0.5447
101,1,0.7989798188209534,"[376.009765625, 489.80828857421875, 716.4849853515625, 774.3106079101562]",voie1,0.5398
102,1,0.8151114583015442,"[381.08282470703125, 486.9710693359375, 720.3348388671875, 776.3148193359375]",voie1,0.5361
103,1,0.8149092197418213,"[382.6740417480469, 485.1448059082031, 721.4158325195312, 776.38720703125]",voie1,0.533
104,1,0.8172916769981384,"[390.3135070800781, 482.302978515625, 723.513671875, 777.9413452148438]",voie1,0.5247
105,1,0.8181788921356201,"[393.2588195800781, 480.8190612792969, 724.5040893554688, 778.27880859375]",voie1,0.5227
106,1,0.7876834273338318,"[395.1741027832031, 485.16156005859375, 725.740966796875, 780.133544921875]",voie1,0.5467
107,1,0.7812433242797852,"[395.2865905761719, 486.0549621582031, 726.544189453125, 779.915771484375]",voie1,0.5474
108,1,0.7986949682235718,"[384.9429931640625, 483.7179260253906, 734.1959228515625, 782.7263793945312]",voie1,0.5479
109,1,0.7891623377799988,"[381.2098083496094, 482.7973327636719, 737.2572631835938, 784.2833251953125]",voie1,0.5491
110,1,0.7753635048866272,"[377.5213623046875, 480.79730224609375, 749.047119140625, 795.699462890625]",voie1,0.4754
111,1,0.7822962403297424,"[376.6493835449219, 479.0892028808594, 753.6478881835938, 799.533203125]",voie1,0.4816
112,1,0.7885543704032898,"[382.03857421875, 480.407470703125, 767.6417236328125, 797.4812622070312]",voie1,0.4911
113,1,0.7936949729919434,"[383.843017578125, 480.9029235839844, 772.515380859375, 796.9678955078125]",voie1,0.4955
114,1,0.7710495591163635,"[384.441162109375, 478.5917053222656, 766.4776000976562, 799.4761352539062]",voie1,0.4844
115,1,0.7748762965202332,"[384.7934265136719, 477.2923278808594, 764.2230224609375, 800.0624389648438]",voie1,0.4834
116,1,0.8092701435089111,"[395.5303955078125, 482.0570068359375, 766.9448852539062, 796.9586181640625]",voie1,0.5045
117,1,0.814975917339325,"[399.88275146484375, 483.46710205078125, 767.423828125, 793.8901977539062]",voie1,0.5017
118,1,0.7999346852302551,"[401.0196533203125, 484.7160949707031, 767.8932495117188, 800.97265625]",voie1,0.5078
119,1,0.7967103719711304,"[401.2196044921875, 484.5199890136719, 767.966552734375, 802.7061767578125]",voie1,0.5114
120,1,0.8213827610015869,"[424.915283203125, 482.4419860839844, 768.1267700195312, 805.0344848632812]",voie1,0.5138
