frame,track_id,train_bbox,train_conf,assigned_track,overlap
43,1,"[568.335693359375, 620.7117309570312, 791.7467041015625, 879.57666015625]",0.8288707733154297,voie2,0.3242
44,1,"[567.6657104492188, 620.455810546875, 792.0816040039062, 878.4957275390625]",0.8286789059638977,voie2,0.3158
45,1,"[567.5578002929688, 620.3070068359375, 792.260009765625, 878.0216064453125]",0.8285041451454163,voie2,0.3124
46,1,"[568.626953125, 619.8197631835938, 793.5125732421875, 878.5743408203125]",0.8316164016723633,voie2,0.3177
47,1,"[568.6060791015625, 619.4806518554688, 793.5786743164062, 878.7537231445312]",0.8317170739173889,voie2,0.3185
48,1,"[564.7456665039062, 618.3792724609375, 795.68994140625, 878.2275390625]",0.833304226398468,voie2,0.3095
49,1,"[563.9527587890625, 617.7412719726562, 797.0300903320312, 877.9160766601562]",0.8334190845489502,voie2,0.3063
50,1,"[564.70556640625, 618.121826171875, 798.0756225585938, 877.7874755859375]",0.838904082775116,voie2,0.3074
51,1,"[564.7792358398438, 618.5859985351562, 798.1431884765625, 878.1382446289062]",0.8392193913459778,voie2,0.3104
52,1,"[562.98291015625, 618.901611328125, 796.0762939453125, 877.672119140625]",0.8308863639831543,voie2,0.3042
53,1,"[562.7511596679688, 619.119140625, 795.5958862304688, 877.5978393554688]",0.831088125705719,voie2,0.3034
54,1,"[561.5911254882812, 618.11865234375, 796.7902221679688, 878.59814453125]",0.8344665169715881,voie2,0.308
55,1,"[561.1819458007812, 617.981201171875, 797.2623901367188, 879.294921875]",0.8343422412872314,voie2,0.3121
56,1,"[562.0343627929688, 618.1834106445312, 797.4581298828125, 880.6688232421875]",0.8313372135162354,voie2,0.3226
57,1,"[562.126220703125, 617.3995361328125, 797.2869873046875, 880.3521728515625]",0.8314018845558167,voie2,0.3196
58,1,"[560.56494140625, 617.5629272460938, 798.5310668945312, 879.3723754882812]",0.8384495377540588,voie2,0.312
59,1,"[559.7318115234375, 617.8513793945312, 798.9180297851562, 879.3380126953125]",0.8392831087112427,voie2,0.3113
60,1,"[563.5023193359375, 617.4620971679688, 798.2026977539062, 879.6548461914062]",0.8338720202445984,voie2,0.3175
61,1,"[564.5663452148438, 617.575439453125, 797.7218017578125, 879.9735717773438]",0.8340973258018494,voie2,0.3209
62,1,"[563.16748046875, 617.61083984375, 795.5524291992188, 883.466796875]",0.8243756890296936,voie2,0.3404
63,1,"[562.8801879882812, 616.9326782226562, 794.954345703125, 884.119140625]",0.8244390487670898,voie2,0.3429
64,1,"[566.820556640625, 616.2722778320312, 796.8760986328125, 886.1567993164062]",0.8287211656570435,voie2,0.3621
65,1,"[568.0350952148438, 615.9674072265625, 797.1517333984375, 887.0377197265625]",0.8284718990325928,voie2,0.3694
66,1,"[565.8073120117188, 616.48291015625, 796.9149780273438, 883.3685302734375]",0.8315504789352417,voie2,0.3184
67,1,"[565.034423828125, 617.0783081054688, 796.7750854492188, 882.4874877929688]",0.8314899206161499,voie2,0.3127
68,1,"[565.059326171875, 617.0927734375, 796.6912231445312, 884.8615112304688]",0.8308504819869995,voie2,0.3268
69,1,"[565.0009155273438, 616.6956176757812, 796.7528686523438, 885.328125]",0.8309544920921326,voie2,0.329
70,1,"[564.5394897460938, 616.3489990234375, 796.2454833984375, 887.31103515625]",0.8265274167060852,voie2,0.3391
71,1,"[564.3138427734375, 615.9364624023438, 796.0226440429688, 887.8687133789062]",0.8262077569961548,voie2,0.3413
72,1,"[551.874755859375, 616.4595336914062, 795.128662109375, 883.0519409179688]",0.8265075087547302,,0.2972
73,1,"[547.5657348632812, 617.2939453125, 795.1276245117188, 881.827880859375]",0.8266813158988953,,0.2861
74,1,"[561.0380859375, 616.9656982421875, 798.7107543945312, 881.1249389648438]",0.8287244439125061,voie2,0.3004
75,1,"[565.5573120117188, 617.228515625, 799.310302734375, 881.1611328125]",0.8286964297294617,voie2,0.3072
76,1,"[566.192626953125, 616.3203735351562, 798.6602172851562, 881.6595458984375]",0.8239591121673584,voie2,0.3096
77,1,"[566.394775390625, 616.05810546875, 798.3944702148438, 882.0123291015625]",0.8242027759552002,voie2,0.3115
78,1,"[557.4136962890625, 617.773681640625, 797.66552734375, 880.9732055664062]",0.8315432071685791,,0.2952
79,1,"[554.8037719726562, 618.0990600585938, 797.8560180664062, 880.2481079101562]",0.8314414620399475,,0.2883
80,1,"[548.2279663085938, 617.6181640625, 796.6928100585938, 884.0966796875]",0.8237997889518738,voie2,0.301
81,1,"[546.072509765625, 617.0574340820312, 796.5380859375, 885.2127685546875]",0.8237857818603516,voie2,0.3038
82,1,"[556.25439453125, 615.887939453125, 799.1713256835938, 886.4156494140625]",0.8250355124473572,voie2,0.324
83,1,"[559.3240356445312, 615.5252685546875, 799.2339477539062, 887.0380249023438]",0.8250601887702942,voie2,0.3313
84,1,"[552.031982421875, 615.6024169921875, 798.5670776367188, 882.3764038085938]",0.8250342011451721,voie2,0.3176
85,1,"[549.8634643554688, 616.2900390625, 798.7782592773438, 881.1763916015625]",0.8249579668045044,voie2,0.3085
86,1,"[547.0491333007812, 617.4537963867188, 798.3372192382812, 883.9366455078125]",0.8275676369667053,,0.2997
87,1,"[546.2100219726562, 617.0941162109375, 798.36669921875, 884.10595703125]",0.8277307152748108,,0.2993
88,1,"[546.935546875, 616.0491333007812, 799.4680786132812, 883.13818359375]",0.8246472477912903,,0.2944
89,1,"[547.0016479492188, 616.0418701171875, 799.6346435546875, 883.158447265625]",0.8246076107025146,,0.2947
90,1,"[545.8455810546875, 617.127685546875, 799.6636352539062, 884.4404296875]",0.8288315534591675,voie2,0.3017
91,1,"[545.6519775390625, 617.069580078125, 799.8245239257812, 884.4282836914062]",0.8288673758506775,voie2,0.3014
92,1,"[543.7909545898438, 617.1950073242188, 799.016845703125, 885.5946044921875]",0.8236059546470642,voie2,0.3051
93,1,"[543.3594360351562, 616.9432983398438, 798.9710083007812, 885.7053833007812]",0.8237190842628479,voie2,0.3049
94,1,"[543.5673217773438, 616.9093627929688, 800.8370971679688, 884.9027099609375]",0.8263067007064819,voie2,0.3021
95,1,"[543.6991577148438, 617.1017456054688, 801.5523071289062, 884.8236694335938]",0.8263155817985535,voie2,0.3026
96,1,"[545.0103149414062, 616.6787109375, 801.9115600585938, 884.5250854492188]",0.8246055245399475,voie2,0.3023
97,1,"[545.35986328125, 616.82861328125, 801.860595703125, 884.6278686523438]",0.8246381878852844,voie2,0.3034
98,1,"[546.57373046875, 615.5, 803.8937377929688, 883.3933715820312]",0.8252213597297668,,0.2979
99,1,"[546.7976684570312, 615.3773193359375, 804.3489990234375, 883.2523193359375]",0.8251493573188782,,0.2975
100,1,"[543.585693359375, 616.2431640625, 799.387451171875, 882.464111328125]",0.8152821660041809,voie2,0.3089
101,1,"[543.39501953125, 616.3314208984375, 798.3618774414062, 881.9685668945312]",0.8147493600845337,voie2,0.3052
102,1,"[544.348876953125, 617.1650390625, 799.97216796875, 885.4293212890625]",0.8177772164344788,voie2,0.3056
103,1,"[544.2490234375, 616.798095703125, 799.8644409179688, 886.2645874023438]",0.8177528977394104,voie2,0.3095
104,1,"[551.9053344726562, 613.5121459960938, 794.4617919921875, 880.2064819335938]",0.8184095025062561,,0.2993
105,1,"[554.0717163085938, 613.0159912109375, 791.5193481445312, 878.6356811523438]",0.8183813095092773,,0.29
106,1,"[548.1311645507812, 614.664306640625, 795.4234619140625, 882.4249877929688]",0.8167030215263367,,0.2875
107,1,"[546.4019165039062, 615.0482788085938, 797.3045043945312, 883.6115112304688]",0.8167212605476379,,0.2938
108,1,"[546.344970703125, 615.9771118164062, 798.1207885742188, 884.651123046875]",0.815820574760437,voie2,0.301
109,1,"[546.0878295898438, 615.8030395507812, 798.242919921875, 884.5043334960938]",0.815729022026062,,0.2998
110,1,"[552.3097534179688, 612.4074096679688, 794.7293701171875, 882.8605346679688]",0.817688524723053,,0.2919
111,1,"[554.1826782226562, 611.7496948242188, 792.6970825195312, 883.1239013671875]",0.8173035383224487,,0.2935
112,1,"[548.4025268554688, 614.162109375, 794.927734375, 884.1943359375]",0.8136913776397705,voie2,0.3199
113,1,"[547.0159301757812, 614.8128662109375, 796.4661865234375, 884.2816772460938]",0.813655436038971,voie2,0.3204
114,1,"[548.0381469726562, 613.803955078125, 802.0219116210938, 881.3367309570312]",0.8191736936569214,,0.2849
115,1,"[547.90478515625, 614.1236572265625, 803.614990234375, 880.9251708984375]",0.8192136287689209,,0.2838
116,1,"[551.05810546875, 612.1971435546875, 795.3728637695312, 879.3399658203125]",0.8175482749938965,,0.292
117,1,"[552.669921875, 611.2530517578125, 792.5498046875, 878.435791015625]",0.8174852132797241,,0.2858
118,1,"[551.9882202148438, 611.2615356445312, 791.6153564453125, 878.1793823242188]",0.8175352811813354,,0.2829
119,1,"[551.6887817382812, 611.0762329101562, 791.419677734375, 877.8846435546875]",0.817527711391449,,0.2804
120,1,"[556.5344848632812, 610.2008666992188, 792.32373046875, 878.77197265625]",0.8178848624229431,,0.2697
121,1,"[557.4464721679688, 610.0147094726562, 791.7030029296875, 879.3600463867188]",0.8176472783088684,,0.2736
122,1,"[548.9556884765625, 611.4195556640625, 794.9524536132812, 880.1636352539062]",0.8153886198997498,,0.2935
123,1,"[546.7474365234375, 612.5869140625, 797.1546630859375, 880.78759765625]",0.8153109550476074,,0.2972
124,1,"[547.8412475585938, 609.4962158203125, 792.798095703125, 877.1547241210938]",0.8165869116783142,,0.2707
125,1,"[548.2650146484375, 608.1851196289062, 790.9469604492188, 875.6737670898438]",0.8165896534919739,,0.2598
126,1,"[553.1769409179688, 607.2725830078125, 791.190673828125, 878.2240600585938]",0.8190547227859497,,0.2801
127,1,"[554.35693359375, 606.6873779296875, 790.6718139648438, 878.96923828125]",0.8191142678260803,,0.2852
128,1,"[553.0521850585938, 606.8892211914062, 789.6014404296875, 877.072998046875]",0.8207628130912781,,0.2716
129,1,"[552.9933471679688, 606.9795532226562, 789.5196533203125, 876.3937377929688]",0.8208031058311462,,0.2675
130,1,"[552.7417602539062, 605.4334106445312, 789.8292846679688, 874.5924072265625]",0.8172694444656372,,0.2547
131,1,"[552.9913940429688, 605.2836303710938, 790.2977905273438, 874.218994140625]",0.8173985481262207,,0.2527
132,1,"[548.8820190429688, 604.2654418945312, 790.7055053710938, 878.5362548828125]",0.8201585412025452,,0.2737
133,1,"[547.340576171875, 603.541015625, 791.0224609375, 879.8145141601562]",0.8202624917030334,,0.2789
134,1,"[549.5778198242188, 601.84130859375, 790.9375610351562, 876.5127563476562]",0.8191606402397156,,0.2602
135,1,"[550.4017333984375, 601.5491333007812, 790.8033447265625, 875.666259765625]",0.8192408680915833,,0.2556
136,1,"[548.7465209960938, 603.0311889648438, 790.9859008789062, 878.1738891601562]",0.8173834085464478,,0.2703
137,1,"[548.2803344726562, 603.10400390625, 791.1387939453125, 878.7286376953125]",0.8173893094062805,,0.2733
138,1,"[551.59814453125, 603.4290161132812, 792.5399169921875, 878.874267578125]",0.8176491260528564,,0.279
139,1,"[552.521728515625, 603.596435546875, 792.7205200195312, 879.006103515625]",0.8176060914993286,,0.2812
140,1,"[553.542724609375, 601.9423217773438, 791.5003051757812, 877.677001953125]",0.8218846917152405,,0.272
141,1,"[553.9435424804688, 601.5635986328125, 791.0371704101562, 877.4296264648438]",0.8219248652458191,,0.2703
142,1,"[548.2860107421875, 605.9639892578125, 799.009033203125, 884.2154541015625]",0.812110185623169,,0.2907
143,1,"[546.0345458984375, 606.974609375, 801.8381958007812, 886.1860961914062]",0.8121000528335571,voie2,0.3017
144,1,"[545.7903442382812, 607.4524536132812, 803.9734497070312, 887.5150146484375]",0.81200110912323,voie2,0.3105
145,1,"[545.7775268554688, 607.5262451171875, 804.7850952148438, 887.8710327148438]",0.8119957447052002,voie2,0.313
146,1,"[547.9352416992188, 602.4747924804688, 796.8847045898438, 882.6104736328125]",0.8205327987670898,,0.2982
147,1,"[549.1647338867188, 601.0945434570312, 794.1453247070312, 881.217529296875]",0.8206666111946106,,0.2885
148,1,"[550.0485229492188, 599.9618530273438, 794.4490356445312, 882.7659301757812]",0.8194310069084167,,0.2758
149,1,"[549.972412109375, 599.2064819335938, 794.23193359375, 882.9816284179688]",0.8193172812461853,,0.276
150,1,"[552.74609375, 598.414794921875, 793.901611328125, 884.9602661132812]",0.8189602494239807,,0.2887
151,1,"[554.4287719726562, 598.241943359375, 794.1620483398438, 885.693603515625]",0.8194388747215271,,0.2946
152,1,"[552.2698364257812, 597.9501342773438, 794.3765258789062, 884.1884155273438]",0.8200352787971497,,0.2839
153,1,"[551.3657836914062, 598.177734375, 793.835205078125, 883.9393310546875]",0.8187736868858337,,0.2814
154,1,"[551.0421142578125, 598.19970703125, 793.5220947265625, 883.6154174804688]",0.8132316470146179,,0.2791
155,1,"[551.7159423828125, 598.1624755859375, 794.2406005859375, 883.2998046875]",0.8132330775260925,,0.2786
156,1,"[545.0825805664062, 600.6544189453125, 801.5379028320312, 883.9508666992188]",0.8180728554725647,voie2,0.3032
157,1,"[542.8836059570312, 602.4307861328125, 804.471435546875, 885.0418090820312]",0.8181456923484802,voie2,0.3105
158,1,"[547.9898071289062, 598.506103515625, 796.9082641601562, 881.1402587890625]",0.8285881280899048,,0.2651
159,1,"[549.0068969726562, 597.1394653320312, 792.8861083984375, 879.7534790039062]",0.8285239934921265,,0.2549
160,1,"[551.0974731445312, 596.7996215820312, 791.0983276367188, 880.269775390625]",0.8280580639839172,,0.2584
161,1,"[552.201904296875, 596.7146606445312, 790.8073120117188, 880.4934692382812]",0.8281041383743286,,0.2605
162,1,"[551.4324340820312, 596.3624267578125, 790.8984375, 882.0989990234375]",0.8281685709953308,,0.268
163,1,"[551.0108032226562, 595.9735717773438, 790.6668701171875, 882.5281372070312]",0.8281547427177429,,0.2692
164,1,"[551.2846069335938, 594.4749755859375, 790.8777465820312, 881.9192504882812]",0.8304829597473145,,0.2651
165,1,"[551.2985229492188, 594.1941528320312, 790.893798828125, 881.9522094726562]",0.8303890228271484,,0.265
166,1,"[550.0584716796875, 593.6491088867188, 791.2936401367188, 882.3931884765625]",0.829038679599762,,0.2657
167,1,"[550.0068359375, 593.7140502929688, 791.899169921875, 882.8443603515625]",0.8292323350906372,,0.2685
168,1,"[554.6605834960938, 593.2120361328125, 793.4754638671875, 885.7329711914062]",0.8291110992431641,,0.2895
169,1,"[555.4656982421875, 592.8074951171875, 793.04296875, 886.6080322265625]",0.8291001915931702,,0.2943
170,1,"[556.0064697265625, 592.7774658203125, 795.3311157226562, 885.2989501953125]",0.8315563201904297,,0.2897
171,1,"[556.4756469726562, 593.08056640625, 796.4965209960938, 884.9962768554688]",0.8314839005470276,,0.2898
172,1,"[556.9407958984375, 592.8489990234375, 803.541015625, 886.1575927734375]",0.8350344896316528,voie2,0.3009
173,1,"[557.6419067382812, 592.8533325195312, 806.980224609375, 886.623046875]",0.8351344466209412,voie2,0.3065
174,1,"[558.876953125, 591.9009399414062, 814.5217895507812, 887.2103881835938]",0.8364952802658081,voie2,0.3367
175,1,"[558.76513671875, 592.0130615234375, 816.9580688476562, 887.895751953125]",0.8363044857978821,voie2,0.3419
176,1,"[560.28173828125, 592.5750732421875, 817.0270385742188, 889.3549194335938]",0.833612859249115,voie2,0.3305
177,1,"[561.0386962890625, 592.1911010742188, 817.2880859375, 889.35400390625]",0.8336418867111206,voie2,0.3312
178,1,"[559.2638549804688, 592.56396484375, 815.7586059570312, 889.2108154296875]",0.835536539554596,voie2,0.3276
179,1,"[558.5175170898438, 592.3602294921875, 814.8506469726562, 888.8379516601562]",0.8354539275169373,,0.2524
180,1,"[559.2228393554688, 591.1669921875, 817.4073486328125, 889.5408325195312]",0.8339905738830566,voie2,0.3288
181,1,"[559.4771728515625, 590.9210205078125, 818.3277587890625, 889.9264526367188]",0.8340351581573486,voie2,0.3315
182,1,"[560.0032348632812, 590.7772827148438, 820.2694091796875, 889.0010375976562]",0.8333709836006165,,0.2559
183,1,"[560.3040771484375, 590.8584594726562, 820.900146484375, 888.7379760742188]",0.8332923054695129,,0.2551
184,1,"[557.8728637695312, 590.9636840820312, 824.622802734375, 890.5542602539062]",0.8364279866218567,,0.2648
185,1,"[556.7723999023438, 590.6092529296875, 825.6709594726562, 890.9427490234375]",0.8362568020820618,,0.266
186,1,"[557.936279296875, 590.5738525390625, 831.0271606445312, 890.573974609375]",0.8327785134315491,,0.2675
187,1,"[558.513671875, 590.6666259765625, 833.0449829101562, 890.4677124023438]",0.8327789902687073,,0.2684
188,1,"[557.4725341796875, 592.7232055664062, 838.056884765625, 892.0067138671875]",0.8307700157165527,,0.2802
189,1,"[556.7702026367188, 593.4620971679688, 839.71484375, 892.4574584960938]",0.8309740424156189,,0.2835
190,1,"[560.631591796875, 593.3217163085938, 843.7249755859375, 892.6720581054688]",0.8271423578262329,,0.2902
191,1,"[562.01611328125, 593.6541137695312, 845.1838989257812, 893.0997314453125]",0.8270722031593323,,0.2951
192,1,"[561.5309448242188, 591.3416748046875, 838.2426147460938, 894.719482421875]",0.8269555568695068,,0.2987
193,1,"[561.1779174804688, 589.9041748046875, 835.5379638671875, 894.8350830078125]",0.8268178701400757,,0.2963
194,1,"[558.2775268554688, 592.2003173828125, 839.8487548828125, 893.63037109375]",0.8274127244949341,,0.2906
195,1,"[557.427001953125, 593.33349609375, 842.0962524414062, 893.2483520507812]",0.8272079229354858,,0.2896
196,1,"[557.9169311523438, 592.7139282226562, 844.2808837890625, 893.2757568359375]",0.8267004489898682,voie2,0.3645
197,1,"[558.0548095703125, 593.0030517578125, 845.221923828125, 893.8760375976562]",0.8265882730484009,voie2,0.3688
198,1,"[556.2860107421875, 594.0105590820312, 864.348388671875, 894.8230590820312]",0.8163176774978638,,0.2907
199,1,"[555.5245361328125, 593.8499755859375, 871.4541625976562, 894.6026000976562]",0.8160673975944519,,0.2916
200,1,"[558.9462280273438, 591.8173217773438, 882.5425415039062, 893.5005493164062]",0.8243158459663391,,0.291
201,1,"[560.7205810546875, 591.5052490234375, 887.1851196289062, 893.5262451171875]",0.8243483304977417,,0.2941
202,1,"[563.7885131835938, 592.126953125, 894.44140625, 895.8508911132812]",0.8289483785629272,voie2,0.3136
203,1,"[564.3268432617188, 591.9242553710938, 896.1652221679688, 896.2879638671875]",0.8288758397102356,voie2,0.3171
204,1,"[563.4426879882812, 591.7001953125, 895.4479370117188, 896.4037475585938]",0.831892192363739,voie2,0.3164
205,1,"[563.211669921875, 591.6369018554688, 895.3075561523438, 896.421875]",0.8319441080093384,voie2,0.3162
206,1,"[565.5672607421875, 590.3579711914062, 901.46826171875, 894.4820556640625]",0.83143550157547,voie2,0.3041
207,1,"[566.8008422851562, 590.4256591796875, 904.3153076171875, 894.3526000976562]",0.8312350511550903,voie2,0.3055
208,1,"[567.5663452148438, 591.0023193359375, 901.861083984375, 893.7056274414062]",0.832161545753479,voie2,0.3022
209,1,"[567.8970947265625, 591.2568969726562, 900.7825317382812, 893.3904418945312]",0.8320726752281189,voie2,0.3005
210,1,"[568.0157470703125, 591.8662109375, 901.9241333007812, 896.4447021484375]",0.830396831035614,voie2,0.3235
211,1,"[567.4844360351562, 591.8328857421875, 901.9390869140625, 897.4284057617188]",0.830294668674469,voie2,0.3287
212,1,"[566.747314453125, 588.0006713867188, 903.7337036132812, 895.3529663085938]",0.8315207958221436,voie2,0.3124
213,1,"[566.8134155273438, 586.4947509765625, 904.61474609375, 894.74658203125]",0.8315308690071106,voie2,0.3077
214,1,"[568.5820922851562, 589.4171752929688, 902.9089965820312, 895.3795166015625]",0.8289448022842407,voie2,0.3155
215,1,"[569.3860473632812, 590.59814453125, 902.3193359375, 895.5614013671875]",0.8288040161132812,voie2,0.3184
216,1,"[567.9581298828125, 591.898193359375, 897.8535766601562, 896.5425415039062]",0.8307467103004456,voie2,0.3227
217,1,"[567.460205078125, 591.9241333007812, 896.5200805664062, 896.5320434570312]",0.8307686448097229,voie2,0.3217
218,1,"[564.136474609375, 586.4854736328125, 904.3974609375, 892.7002563476562]",0.8419261574745178,,0.2932
219,1,"[562.701171875, 584.7461547851562, 907.1005249023438, 891.56005859375]",0.8419461846351624,,0.2844
220,1,"[560.3335571289062, 584.8485107421875, 906.7572021484375, 891.1066284179688]",0.841558575630188,,0.2732
221,1,"[559.6563720703125, 585.2308959960938, 906.634521484375, 891.2020874023438]",0.8415966629981995,,0.2735
222,1,"[558.5874633789062, 583.40625, 902.3977661132812, 891.6401977539062]",0.8444582223892212,,0.2789
223,1,"[558.259765625, 583.0283813476562, 900.8282470703125, 892.1655883789062]",0.8444167375564575,,0.2808
224,1,"[557.8736572265625, 582.5723876953125, 899.2600708007812, 891.99755859375]",0.8429911136627197,,0.2786
225,1,"[557.8702392578125, 582.5929565429688, 898.6329956054688, 892.0831298828125]",0.8429955244064331,,0.2789
226,1,"[559.5377807617188, 584.728271484375, 900.8517456054688, 893.727783203125]",0.8407807946205139,,0.2924
227,1,"[560.41064453125, 584.8673095703125, 901.670166015625, 893.8604736328125]",0.8406263589859009,,0.2943
228,1,"[557.544189453125, 582.1054077148438, 902.9397583007812, 892.60791015625]",0.8430728912353516,,0.2826
229,1,"[556.2357788085938, 581.8392333984375, 903.5362548828125, 892.7249755859375]",0.8429225087165833,,0.2821
230,1,"[557.314208984375, 580.4190063476562, 906.2245483398438, 893.1514892578125]",0.8441186547279358,,0.285
231,1,"[557.465087890625, 579.9050903320312, 907.1183471679688, 893.3523559570312]",0.8441880345344543,,0.2861
232,1,"[557.2442016601562, 580.455810546875, 904.3132934570312, 893.5021362304688]",0.8433204293251038,,0.2864
233,1,"[557.6315307617188, 580.9022216796875, 903.662109375, 893.74609375]",0.8433243632316589,,0.2883
234,1,"[564.0790405273438, 582.5753784179688, 905.6945190429688, 897.9109497070312]",0.842266857624054,voie2,0.3198
235,1,"[566.29736328125, 582.2693481445312, 906.1947631835938, 898.5654907226562]",0.8421800136566162,voie2,0.3255
236,1,"[562.4602661132812, 580.2828979492188, 906.930908203125, 894.7890625]",0.8461418747901917,,0.2988
237,1,"[561.273193359375, 580.1146240234375, 907.4472045898438, 893.9811401367188]",0.8461371660232544,,0.2931
238,1,"[564.5452880859375, 580.2711181640625, 908.2142333984375, 895.9940185546875]",0.8468366265296936,voie2,0.3079
239,1,"[565.6156616210938, 580.2022094726562, 908.1773681640625, 896.62939453125]",0.84671550989151,voie2,0.3124
240,1,"[562.3549194335938, 579.9187622070312, 906.6467895507812, 896.8496704101562]",0.845736563205719,,0.2952
241,1,"[561.458251953125, 579.84326171875, 906.1886596679688, 896.9935302734375]",0.845618486404419,,0.295
242,1,"[559.4714965820312, 578.897216796875, 903.8713989257812, 895.4365234375]",0.8452973961830139,,0.2833
