epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,5970.05,0.68773,0.67908,1.09411,0.62929,0.51042,0.58212,0.41445,0.94012,1.20751,1.34862,0.000566875,0.000566875,0.000566875
37,6129.62,0.70201,0.80674,1.10639,0.61209,0.51042,0.563,0.42163,0.91241,1.26692,1.31719,0.0005545,0.0005545,0.0005545
38,6290.97,0.68111,0.7462,1.06854,0.28148,0.66852,0.52877,0.3925,0.91963,1.48374,1.31336,0.000542125,0.000542125,0.000542125
39,6584.74,0.66823,0.64846,1.06245,0.36397,0.4375,0.46904,0.35232,1.03468,1.45227,1.39599,0.00052975,0.00052975,0.00052975
40,6751.93,0.63046,0.5992,1.0406,0.9086,0.4375,0.45672,0.36044,0.90637,1.29465,1.3591,0.000517375,0.000517375,0.000517375
41,6934.51,0.65645,0.65354,1.06876,0.90409,0.4375,0.46745,0.3539,0.93384,1.37432,1.37194,0.000505,0.000505,0.000505
42,7108.46,0.74594,0.78517,1.13703,0.85378,0.40625,0.44531,0.3552,0.97926,1.34399,1.41876,0.000492625,0.000492625,0.000492625
43,7356.02,0.70071,0.7023,1.10364,0.37296,0.40625,0.45436,0.34065,0.99788,1.23036,1.3623,0.00048025,0.00048025,0.00048025
44,7509.22,0.64868,0.6532,1.06251,0.38626,0.42495,0.52917,0.39937,0.78009,1.00808,1.21873,0.000467875,0.000467875,0.000467875
45,7711.21,0.671,0.62304,1.07637,0.36979,0.44399,0.56615,0.41213,0.78136,1.00449,1.22935,0.0004555,0.0004555,0.0004555
46,7861.96,0.64004,0.60884,1.09096,0.4328,0.40625,0.50765,0.37997,0.89853,1.07434,1.31244,0.000443125,0.000443125,0.000443125
47,8085.82,0.66802,0.73042,1.0649,0.43593,0.4257,0.51274,0.37135,0.91867,1.20456,1.31004,0.00043075,0.00043075,0.00043075
48,8330.38,0.62014,0.65557,1.07232,0.43592,0.42568,0.5786,0.39431,0.95692,1.14431,1.35521,0.000418375,0.000418375,0.000418375
49,8483.92,0.59682,0.58433,1.0544,0.50244,0.58603,0.59572,0.39138,1.0629,1.14662,1.38791,0.000406,0.000406,0.000406
50,8677.43,0.55134,0.52707,1.02513,0.37797,0.40625,0.52583,0.37328,1.05715,1.25014,1.4235,0.000393625,0.000393625,0.000393625
51,8824.9,0.59063,0.54648,1.02936,0.36038,0.5,0.49449,0.34621,1.0363,1.1433,1.48515,0.00038125,0.00038125,0.00038125
52,8992.04,0.63474,0.54536,1.05988,0.89842,0.5,0.52726,0.38483,0.97209,1.1875,1.4871,0.000368875,0.000368875,0.000368875
53,9181.01,0.5167,0.51551,0.99082,0.41529,0.60674,0.61826,0.41982,0.99531,1.02233,1.52307,0.0003565,0.0003565,0.0003565
54,9320.69,0.50849,0.46332,0.97934,0.52001,0.66055,0.6247,0.43802,1.00086,0.93952,1.48271,0.000344125,0.000344125,0.000344125
55,9562.83,0.5525,0.54437,1.01503,0.52314,0.63391,0.69218,0.47225,0.9771,0.90685,1.38496,0.00033175,0.00033175,0.00033175
56,9880.73,0.55797,0.53301,1.01918,0.91547,0.4611,0.61155,0.44587,0.94946,0.9433,1.30084,0.000319375,0.000319375,0.000319375
57,10066.9,0.54155,0.51959,1.01653,0.93944,0.46875,0.53705,0.41352,0.84585,0.95827,1.24422,0.000307,0.000307,0.000307
58,10325.5,0.55685,0.5201,1.04971,0.91431,0.46875,0.48321,0.37593,0.82887,0.98782,1.25629,0.000294625,0.000294625,0.000294625
59,10463.2,0.52538,0.51175,0.98641,0.93725,0.43561,0.47866,0.37266,0.85009,1.05756,1.29443,0.00028225,0.00028225,0.00028225
60,10591.1,0.52258,0.50963,1.02689,0.92723,0.4375,0.47753,0.37221,0.82374,1.08119,1.31437,0.000269875,0.000269875,0.000269875
61,10718,0.5368,0.48799,1.02468,0.85619,0.46875,0.46675,0.35842,0.86357,1.1996,1.32949,0.0002575,0.0002575,0.0002575
62,10850.7,0.5327,0.47532,1.03067,0.8602,0.4375,0.47039,0.35423,0.89107,1.24826,1.3774,0.000245125,0.000245125,0.000245125
63,10988.4,0.47972,0.4572,0.97548,0.87464,0.46705,0.50027,0.38102,0.89989,1.24643,1.37795,0.00023275,0.00023275,0.00023275
64,11129.3,0.53201,0.50683,1.06068,0.84976,0.43655,0.4894,0.38881,0.85251,1.17094,1.30805,0.000220375,0.000220375,0.000220375
65,11269.6,0.48224,0.40826,0.99149,0.88637,0.42545,0.51077,0.41482,0.83993,1.08795,1.26531,0.000208,0.000208,0.000208
66,11406.5,0.47438,0.41782,0.97814,0.88842,0.43524,0.55946,0.4648,0.79891,1.12109,1.20435,0.000195625,0.000195625,0.000195625
67,11545.7,0.46572,0.40357,0.95546,0.38709,0.42891,0.57556,0.4787,0.77757,1.1035,1.1734,0.00018325,0.00018325,0.00018325
68,11684,0.45907,0.40587,0.98529,0.37945,0.5,0.60857,0.51232,0.73503,1.04168,1.14522,0.000170875,0.000170875,0.000170875
69,11825.2,0.51852,0.47694,0.99348,0.39868,0.49215,0.62149,0.51868,0.73075,0.99645,1.15509,0.0001585,0.0001585,0.0001585
70,11964.3,0.49668,0.48417,0.98697,0.39645,0.5,0.62149,0.52153,0.76327,1.02635,1.18595,0.000146125,0.000146125,0.000146125
71,12127.4,0.43045,0.45011,0.94186,0.39891,0.5,0.55532,0.44994,0.81137,1.06231,1.23205,0.00013375,0.00013375,0.00013375
72,12266.5,0.42394,0.38167,0.91522,0.41476,0.5,0.45803,0.35374,0.82111,1.00296,1.27798,0.000121375,0.000121375,0.000121375
73,12402.5,0.3631,0.34774,0.90239,0.39862,0.5,0.54369,0.42397,0.83482,1.00915,1.31388,0.000109,0.000109,0.000109
74,12565.7,0.35801,0.33583,0.90187,0.35712,0.5,0.53737,0.41401,0.82682,1.02084,1.31723,9.6625e-05,9.6625e-05,9.6625e-05
75,12701.7,0.33752,0.31856,0.89093,0.3583,0.5,0.53068,0.42303,0.81425,1.03195,1.31629,8.425e-05,8.425e-05,8.425e-05
76,12837.8,0.30501,0.29142,0.86277,0.35869,0.5,0.56046,0.44998,0.82019,1.04357,1.32061,7.1875e-05,7.1875e-05,7.1875e-05
77,12973,0.31075,0.28663,0.8588,0.32322,0.5,0.55516,0.44217,0.8241,1.05483,1.32278,5.95e-05,5.95e-05,5.95e-05
78,13111,0.33695,0.3022,0.89486,0.37116,0.5,0.57166,0.46304,0.82664,1.0484,1.33786,4.7125e-05,4.7125e-05,4.7125e-05
79,13246.4,0.31358,0.28669,0.85851,0.39936,0.49619,0.57025,0.46216,0.82442,1.03713,1.33264,3.475e-05,3.475e-05,3.475e-05
80,13380.4,0.29888,0.26951,0.86392,0.36537,0.5,0.56697,0.45021,0.82602,1.05804,1.32579,2.2375e-05,2.2375e-05,2.2375e-05
