frame,train_track_id,train_conf,train_bbox,assigned_track,overlap
0,1,0.8860257863998413,"[820.3857421875, 230.08270263671875, 1384.542724609375, 854.4331665039062]",,0.0
1,1,0.8909786939620972,"[821.5776977539062, 230.54335021972656, 1384.5042724609375, 852.404541015625]",,0.0
2,1,0.886370062828064,"[813.1184692382812, 228.9005584716797, 1382.6463623046875, 854.6799926757812]",,0.0
3,1,0.8863659501075745,"[811.939453125, 228.99232482910156, 1382.59033203125, 855.7727661132812]",,0.0
4,1,0.8809781670570374,"[805.0055541992188, 232.2858123779297, 1382.85302734375, 857.751953125]",,0.0
5,1,0.8810962438583374,"[802.8961181640625, 233.56512451171875, 1382.6826171875, 858.4015502929688]",,0.0
6,1,0.8825353384017944,"[812.9891967773438, 228.88719177246094, 1383.693359375, 859.3331298828125]",,0.0
7,1,0.8839095830917358,"[816.4903564453125, 227.38584899902344, 1383.339111328125, 859.6506958007812]",,0.0
8,1,0.8776863217353821,"[809.9935913085938, 218.9276123046875, 1383.68798828125, 860.3099365234375]",,0.0
9,1,0.8781317472457886,"[807.6009521484375, 215.93850708007812, 1383.740966796875, 860.9395751953125]",,0.0
10,1,0.8838040232658386,"[814.0665283203125, 206.0556182861328, 1383.2076416015625, 861.8433837890625]",,0.0
11,1,0.8835327625274658,"[816.218994140625, 202.4090118408203, 1383.125244140625, 862.4877319335938]",,0.0
12,1,0.8785949945449829,"[807.3701171875, 203.7189483642578, 1383.9775390625, 866.6375122070312]",,0.0
13,1,0.8786580562591553,"[804.1450805664062, 203.72950744628906, 1383.880859375, 867.8301391601562]",,0.0
14,1,0.8732610940933228,"[799.7886352539062, 199.7552032470703, 1382.6016845703125, 869.323486328125]",,0.0
15,1,0.8733029961585999,"[798.1807861328125, 198.50091552734375, 1382.006591796875, 869.9154052734375]",,0.0
16,1,0.8755708336830139,"[804.7567138671875, 198.6155548095703, 1382.59521484375, 870.012939453125]",,0.0
17,1,0.8754243850708008,"[806.7584838867188, 199.29159545898438, 1381.8846435546875, 870.64501953125]",,0.0
18,1,0.8705316185951233,"[806.2061767578125, 198.47621154785156, 1381.94384765625, 870.9359741210938]",,0.0
19,1,0.8705247640609741,"[805.5232543945312, 198.4100799560547, 1381.702880859375, 870.9331665039062]",,0.0
20,1,0.875466525554657,"[791.0346069335938, 200.068359375, 1379.99951171875, 871.8533325195312]",,0.0
21,1,0.8754977583885193,"[787.012451171875, 200.25779724121094, 1379.6483154296875, 871.6986083984375]",,0.0
22,1,0.8742375373840332,"[784.241943359375, 199.8792724609375, 1378.3907470703125, 872.4077758789062]",,0.0
23,1,0.8742977380752563,"[783.7158203125, 199.31471252441406, 1378.38916015625, 872.4174194335938]",,0.0
24,1,0.8674049973487854,"[781.9427490234375, 196.7316131591797, 1375.81689453125, 872.26611328125]",,0.0
25,1,0.8676652908325195,"[781.3616943359375, 196.1188507080078, 1374.8345947265625, 872.4087524414062]",,0.0
26,1,0.8753619194030762,"[778.4739379882812, 194.31495666503906, 1360.159912109375, 875.7197265625]",,0.0
27,1,0.8749590516090393,"[777.8975830078125, 193.7583465576172, 1354.74658203125, 877.0108032226562]",,0.0
28,1,0.8784828186035156,"[775.15283203125, 194.30770874023438, 1348.9827880859375, 880.7532958984375]",,0.0
29,1,0.8779271245002747,"[774.6270141601562, 194.6537628173828, 1347.334716796875, 882.0660400390625]",,0.0
30,1,0.8767837882041931,"[787.9440307617188, 196.75135803222656, 1348.4984130859375, 887.6672973632812]",,0.0
31,1,0.8765817880630493,"[793.2778930664062, 196.4705047607422, 1349.0457763671875, 888.5790405273438]",,0.0
32,1,0.885624885559082,"[786.708740234375, 197.4035186767578, 1348.0540771484375, 897.1100463867188]",,0.0
33,1,0.886914074420929,"[783.4188842773438, 196.46563720703125, 1348.0987548828125, 899.2381591796875]",,0.0
34,1,0.8914546370506287,"[773.3865356445312, 196.4241180419922, 1348.9471435546875, 901.6680297851562]",,0.0
35,1,0.8915774822235107,"[770.5759887695312, 196.1221466064453, 1350.2183837890625, 902.4982299804688]",,0.0
36,1,0.8949313759803772,"[767.9132690429688, 195.42501831054688, 1345.95703125, 914.3735961914062]",,0.0
37,1,0.8977795839309692,"[769.37353515625, 193.2690887451172, 1343.753662109375, 916.1293334960938]",,0.0
38,1,0.8967393040657043,"[769.6793212890625, 197.77162170410156, 1345.3045654296875, 927.9332275390625]",,0.0
39,1,0.896948516368866,"[771.2991943359375, 196.14222717285156, 1347.228759765625, 928.799560546875]",,0.0
40,1,0.8911442160606384,"[771.3353271484375, 205.25051879882812, 1356.731689453125, 931.5131225585938]",,0.0
41,1,0.8915770649909973,"[768.7603149414062, 205.3965301513672, 1359.6986083984375, 932.2009887695312]",,0.0
42,1,0.890370786190033,"[765.3820190429688, 222.26107788085938, 1354.5050048828125, 933.3211669921875]",,0.0
43,1,0.8900945782661438,"[766.2127685546875, 223.56056213378906, 1357.18505859375, 932.9017333984375]",,0.0
44,1,0.8850035667419434,"[765.3771362304688, 229.19210815429688, 1343.154541015625, 940.39013671875]",,0.0
45,1,0.8852987885475159,"[767.1455688476562, 227.30804443359375, 1341.678955078125, 941.9917602539062]",,0.0
46,1,0.87546706199646,"[740.2075805664062, 244.70156860351562, 1302.036376953125, 944.3927612304688]",,0.0
47,1,0.8756551146507263,"[735.105224609375, 243.23049926757812, 1295.284912109375, 941.8892822265625]",,0.0
48,1,0.8949914574623108,"[720.5841064453125, 256.86871337890625, 1281.2181396484375, 936.10107421875]",,0.0
49,1,0.8947041034698486,"[720.8942260742188, 256.10919189453125, 1286.5498046875, 934.7791137695312]",,0.0
50,1,0.8895137906074524,"[710.9197387695312, 254.49252319335938, 1275.3126220703125, 925.240234375]",,0.0
51,1,0.8893879055976868,"[711.033203125, 252.343017578125, 1279.2874755859375, 926.7452392578125]",,0.0
52,1,0.8849091529846191,"[709.2144165039062, 267.904541015625, 1264.7501220703125, 931.0778198242188]",,0.0
53,1,0.8845816254615784,"[711.0516967773438, 271.5489196777344, 1266.164794921875, 936.4747314453125]",,0.0
54,1,0.879596471786499,"[688.8549194335938, 278.35186767578125, 1244.1783447265625, 930.51708984375]",,0.0
55,1,0.8798004388809204,"[684.6649169921875, 277.8456726074219, 1244.2265625, 931.010498046875]",,0.0
56,1,0.8750026822090149,"[675.1461791992188, 286.2208251953125, 1226.055908203125, 925.5303955078125]",,0.0
57,1,0.8754874467849731,"[675.2470703125, 285.89215087890625, 1228.3563232421875, 926.7282104492188]",,0.0
58,1,0.892055094242096,"[666.8543090820312, 284.22662353515625, 1208.226806640625, 914.3272705078125]",,0.0
59,1,0.8916165828704834,"[670.4224243164062, 282.5166015625, 1212.5369873046875, 913.9660034179688]",,0.0
60,1,0.880981981754303,"[658.7191162109375, 286.259765625, 1194.995849609375, 909.7788696289062]",,0.0
61,1,0.8819385766983032,"[656.7069702148438, 286.078857421875, 1195.4027099609375, 911.5703125]",,0.0
62,1,0.8784880042076111,"[650.6234741210938, 282.07025146484375, 1180.9803466796875, 895.375]",,0.0
63,1,0.8785693049430847,"[649.4638671875, 280.31689453125, 1180.97607421875, 894.3690795898438]",,0.0
64,1,0.8805945515632629,"[638.0396118164062, 281.91827392578125, 1164.5538330078125, 889.0164794921875]",,0.0
65,1,0.8806722164154053,"[635.5167236328125, 281.2278137207031, 1162.5194091796875, 890.8278198242188]",,0.0
66,1,0.9003105759620667,"[642.2819213867188, 283.3676452636719, 1167.950927734375, 879.644287109375]",,0.0
67,1,0.8988327383995056,"[645.9930419921875, 283.284423828125, 1175.150146484375, 879.7921752929688]",,0.0
68,1,0.8916310667991638,"[645.5075073242188, 281.5126647949219, 1168.1815185546875, 871.817626953125]",,0.0
69,1,0.8596671223640442,"[644.4812622070312, 280.0660400390625, 1170.2606201171875, 862.8536376953125]",voie2,0.162
70,1,0.8769891262054443,"[647.7149047851562, 285.32470703125, 1160.8115234375, 866.16650390625]",voie2,0.2127
71,1,0.8730886578559875,"[647.0508422851562, 285.6789245605469, 1160.8150634765625, 869.8829956054688]",voie2,0.2098
72,1,0.8416283130645752,"[641.1204223632812, 286.0223388671875, 1156.13818359375, 853.970458984375]",voie2,0.1484
73,1,0.8415932655334473,"[639.1364135742188, 284.8655090332031, 1157.03173828125, 850.6639404296875]",voie2,0.1429
74,1,0.8327310681343079,"[642.608642578125, 290.4344177246094, 1152.263427734375, 811.4066772460938]",voie2,0.0458
75,1,0.8308601975440979,"[644.9420166015625, 290.3238220214844, 1155.3211669921875, 799.6035766601562]",voie2,0.0318
76,1,0.8468611240386963,"[649.7265014648438, 287.70684814453125, 1152.1025390625, 820.5736083984375]",voie2,0.0517
77,1,0.8606418967247009,"[650.1242065429688, 285.8677673339844, 1152.0611572265625, 828.17626953125]",voie2,0.0624
78,1,0.8141492009162903,"[650.6312255859375, 290.9969482421875, 1143.78662109375, 799.694091796875]",voie2,0.0279
79,1,0.863273024559021,"[649.4122924804688, 288.429931640625, 1144.51708984375, 820.2052001953125]",voie2,0.0473
80,1,0.8086680173873901,"[646.116455078125, 294.5809631347656, 1130.857666015625, 789.8292236328125]",voie2,0.0655
81,1,0.8071614503860474,"[646.9789428710938, 294.6849365234375, 1132.537109375, 780.609619140625]",voie2,0.0475
82,1,0.8436252474784851,"[640.7638549804688, 297.10076904296875, 1129.3492431640625, 786.554443359375]",voie1,0.0305
