epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2786.24,0.81436,1.23004,1.21941,1.03397,0.69885,0.13333,0.16861,0.08173,0.96966,0.06667,0.08829,0.03511,1.85494,1.92491,3.36661,2.03599,0.000641125,0.000641125,0.000641125
31,2882.66,0.80498,1.16403,1.11522,1.04355,0.96997,0.16667,0.20332,0.15892,0.96997,0.16667,0.20159,0.13632,1.60905,1.77544,2.64369,1.7512,0.00062875,0.00062875,0.00062875
32,2979.77,0.81951,1.2615,1.07951,1.05844,0.57053,0.16667,0.29287,0.23225,0.57053,0.16667,0.25693,0.17344,1.3934,2.00055,2.40078,1.57781,0.000616375,0.000616375,0.000616375
33,3075.42,0.81801,1.03587,1.09229,1.0979,0.2527,0.23029,0.21964,0.18069,0.48443,0.16667,0.20791,0.1205,1.3814,2.21249,2.44085,1.57413,0.000604,0.000604,0.000604
34,3172.46,0.79154,1.08914,0.95257,1.0111,0.91192,0.1,0.16652,0.143,0.91192,0.1,0.1606,0.07527,1.38753,2.39062,2.67795,1.61504,0.000591625,0.000591625,0.000591625
35,3266.92,0.77818,1.15681,1.11327,1.01545,0.76566,0.1,0.21027,0.16134,0.76566,0.1,0.21122,0.07072,1.48997,2.33646,3.02189,1.64857,0.00057925,0.00057925,0.00057925
36,3361.67,0.72638,1.05793,0.98316,1.00739,0.78537,0.1,0.21313,0.15724,0.72292,0.06667,0.15382,0.0659,1.40048,2.24583,3.05926,1.50987,0.000566875,0.000566875,0.000566875
37,3456.57,0.78777,1.12493,1.08475,1.03023,0.12432,0.4,0.22958,0.15013,0.10913,0.2,0.19032,0.06615,1.44971,2.0777,2.91322,1.51799,0.0005545,0.0005545,0.0005545
38,3552.4,0.7462,1.11741,0.96847,1.03577,0.12432,0.4,0.22958,0.15013,0.10913,0.2,0.19032,0.06615,1.44971,2.0777,2.91322,1.51799,0.000542125,0.000542125,0.000542125
39,3647.39,0.79458,1.05314,0.95329,1.02094,0.62064,0.2,0.25108,0.19184,0.62064,0.2,0.22583,0.11149,1.28554,2.09254,2.47666,1.50879,0.00052975,0.00052975,0.00052975
